School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,32,8.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,32,8.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,32,8.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,32,8.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,32,8.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,32,8.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,32,8.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1131.0,92.0,1081.0,4.0,12.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1047.0,67.0,974.0,0.0,3.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1179.0,98.0,1802.0,1.0,20.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1037.0,63.0,929.0,5.0,10.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1026.0,58.0,660.0,4.0,20.0,32,8.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1040.0,64.0,1296.0,3.0,13.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,998.0,46.0,941.0,12.0,7.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1046.0,66.0,805.0,5.0,8.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1131.0,92.0,1081.0,4.0,12.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1047.0,67.0,974.0,0.0,3.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1179.0,98.0,1802.0,1.0,20.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1037.0,63.0,929.0,5.0,10.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1026.0,58.0,660.0,4.0,20.0,32,8.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1040.0,64.0,1296.0,3.0,13.0,32,8.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,998.0,46.0,941.0,12.0,7.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1046.0,66.0,805.0,5.0,8.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1131.0,92.0,1081.0,4.0,12.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1047.0,67.0,974.0,0.0,3.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1179.0,98.0,1802.0,1.0,20.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1037.0,63.0,929.0,5.0,10.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1026.0,58.0,660.0,4.0,20.0,26,2.9
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1040.0,64.0,1296.0,3.0,13.0,26,2.9
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,998.0,46.0,941.0,12.0,7.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1046.0,66.0,805.0,5.0,8.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1131.0,92.0,1081.0,4.0,12.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1047.0,67.0,974.0,0.0,3.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1179.0,98.0,1802.0,1.0,20.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1037.0,63.0,929.0,5.0,10.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1026.0,58.0,660.0,4.0,20.0,30,5.8
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1040.0,64.0,1296.0,3.0,13.0,30,5.8
St Kevin's College,St Kevin's College,TOORAK,VIC,-37.8353971,145.02469671,1191.0,99.0,2116.0,1.0,12.0,35,23.7
St Leonard's College,St Leonard's College,BRIGHTON EAST,VIC,-37.928631,145.007554,1184.0,99.0,1591.0,0.0,28.0,34,15.6
St Margaret's School,St Margaret's School,EAST GEELONG,VIC,-38.164624,144.373926,1057.0,71.0,228.0,3.0,11.0,33,12.8
St Mary MacKillop College,St Mary MacKillop College,SWAN HILL,VIC,-35.341915,143.556795,1027.0,59.0,499.0,3.0,10.0,29,5
St Mary MacKillop College,St Mary MacKillop College,SWAN HILL,VIC,-35.341915,143.556795,1049.0,68.0,1548.0,2.0,7.0,29,5
St Mary MacKillop College,St Mary MacKillop College,SWAN HILL,VIC,-35.341915,143.556795,1060.0,72.0,2048.0,4.0,7.0,29,5
St Mary MacKillop College,St Mary MacKillop College,BUSSELTON,WA,-33.66348,115.33016,1027.0,59.0,499.0,3.0,10.0,29,5
St Mary MacKillop College,St Mary MacKillop College,BUSSELTON,WA,-33.66348,115.33016,1049.0,68.0,1548.0,2.0,7.0,29,5
St Mary MacKillop College,St Mary MacKillop College,BUSSELTON,WA,-33.66348,115.33016,1060.0,72.0,2048.0,4.0,7.0,29,5
St Mary MacKillop College,St Mary MacKillop College,ISABELLA PLAINS,ACT,-35.4249,149.093,1027.0,59.0,499.0,3.0,10.0,29,5
St Mary MacKillop College,St Mary MacKillop College,ISABELLA PLAINS,ACT,-35.4249,149.093,1049.0,68.0,1548.0,2.0,7.0,29,5
St Mary MacKillop College,St Mary MacKillop College,ISABELLA PLAINS,ACT,-35.4249,149.093,1060.0,72.0,2048.0,4.0,7.0,29,5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,HOBART,TAS,-42.881808,147.319687,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,GUNNEDAH,NSW,-30.9799,150.26,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,SEYMOUR,VIC,-37.019895,145.140924,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1036.0,62.0,706.0,5.0,7.0,36,37.5
